"ADC client","Magnet URI","UPnP","NAT traversal","DHT","Encryption","IPv6","Plugin","Proxy","Hash algorithms","Protocol support","NMDC compatible","Other"
"AirDC++","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Tiger tree hash","TIGR, ADCS, UCMD,NATT, SEGA, PFSR, KEYP, PBD1, UBN1, MCN1, BLOM, SUDP, FO, QP, HBRI, ASCH","Yes",""
"AirDC++ nano","No","Yes","Yes","No","Yes","Yes","No","Yes","Tiger tree hash","Inherits from AirDC++","Yes",""
"ApexDC++","Yes","Yes","Yes","Yes","Yes","No","C++, Lua","Yes","Tiger tree hash","Inherits from StrongDC++","Yes",""
"DC++","Yes","Yes","Yes","No","Yes","Yes","C++, Lua","Yes","Tiger tree hash","TIGR, ADCS, UCMD, BLOM, NATT, SEGA","Yes",""
"jucy","Yes","Yes","No","No","Yes","Yes","Eclipse RCP","Yes","Tiger tree hash","TIGR, ADCS, KEYP, SUDP, BLOM, UCMD","Yes",""
"LinuxDC++","Yes","Yes","No","No","Yes","No","No","Yes","Tiger tree hash","Inherits from DC++","Yes",""
"EiskaltDC++","Yes","Yes","Yes","Yes","Yes","No","Lua, QtScript, QML","Yes","Tiger tree hash","TIGR, ADCS, UCMD, BLOM, NATT, SEGA, PFSR, KEYP, FS","Yes",""
"FlylinkDC++","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Tiger tree hash","Inherits from StrongDC++","Yes",""
"RSX++","Yes","Yes","No","Yes","Yes","No","C++, Lua","Yes","Tiger tree hash","Inherits from StrongDC++","Yes",""
"TKDC++","Yes","Yes","Yes","No","Yes","No","C++, Lua","Yes","Tiger tree hash","TIGR, ADCS, UCMD, BLOM, NATT, PFSR, SEGA","Yes",""
"StrongDC++","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Tiger tree hash","TIGR, ADCS, UCMD, BLOM, NATT, PFSR, QP, SEGA","Yes",""
"ncdc","No","No","No","No","Yes","Yes","No","No","Tiger tree hash","TIGR, ADCS, KEYP, SUDP","Yes",""
"ADC client","Magnet URI","UPnP","NAT traversal","DHT","Encryption","IPv6","Plugin","Proxy","Hash algorithms","Protocol support","NMDC compatible","Other"
