"Product","Local books","Book file search","Epub downloading","Browser downloading","OPDS catalog","Books tag","Books sort","Books manage metadata"
"Aldiko Book Reader","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"AlReader","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes"
"Cool Reader","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes"
"EBookDroid","Yes","?","?","?","Yes","?","?","?"
"Ebook Reader","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"FBReader","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"iReader","?","?","?","?","?","?","?","?"
"Lektz eBook Reader","Yes","Yes","Yes","?","?","?","?","?"
"Mantano Ebook Reader","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Moon+ reader","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Socio eReader","Yes","Yes","Yes","No","No","No","Yes","No"
"Kindle","?","?","?","?","?","?","?","?"
"Kobo Books","?","?","?","?","?","?","?","?"
"PocketBook","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"","","","","","","","",""
