"Flag","Country","IOC","FIFA","ISO"
"","British Honduras","HBR1972","BHO ",""
"","Burma","BIR1988","BUR1989","BUR1989"
"","Ceylon","CEY1972","CEY1972",""
"","Dahomey","DAH1972","DAH1975","DHY1977"
"","Czechoslovakia","TCH1992","TCH1993","CSK1993"
"","East Germany","GDR1988","DDR1989","DDR1989"
"","Khmer Republic","KHM1976","?1975",""
"","Malaya","MAL1960","?1963",""
"","Netherlands Antilles","AHO2011","ANT2011","ANT2010"
"","North Borneo","?1956","NBO1963",""
"","North Yemen","YAR1988","NYE1990","YEM1990"
"","Northern Rhodesia","NRH1964","NRH1964",""
"","Rhodesia","RHO1972","RHO1980","RHO1980"
"","Serbia and Montenegro","SCG2006","SCG2006","SCG2006"
"","South Yemen","YMD1988","SYE1990","YMD1990"
"","Soviet Union","URS1988","URS1991","SUN1992"
"","Upper Volta","VOL1984","UPV1984","HVO1984"
"","Viet-Nam, Democratic Republic of","VNO1975VDR1977","",""
"","Viet Nam, Republic of","VNM1976","VSO1975","VNM1977"
"","West Germany","FRG1988","FRG1989","DEU1989"
"","Yugoslavia, Federal Republic of","YUG2002","YUG2003","YUG2003"
"","Yugoslavia, Socialist Federal Republic of","YUG1992","YUG1992","YUG1992"
"","Zaïre","ZAI1996","ZAI1997","ZAR1997"
