"IRC daemon","Channel types","Halfop support
(+h %)","Admin/protect support
(+a/+u &/!/*)","Founder/owner support
(+q ~/.)","Operator prefixing","Advanced operator ACL","Operator ""levels""","vHost via I-line (or equivalent)","i18n nicknames","RDBMS integration (SQL)"
"Bahamut","#","No","No","No","No","No","No","Partial","No","No"
"bIRCd","# &","No","No","No","No","No","No","Partial","No","No"
"Charybdis","# &","No","No","No","No","Yes","Yes","Yes","No","No"
"ConferenceRoom","# &","No","No","Yes","No","Yes","Yes","Yes","Partial","Partial"
"InspIRCd","#","Yes","Module","Module","Module","Yes","Module","Yes","Module","Old versions: MySQL, SQLite & PostgreSQL: Authorization, Services Integration, Logging, Operaccess"
"IRCD","# & ! +","No","No","No","No","Unknown","No","No","No","No"
"IRCD-Hybrid","#","Yes","No","No","No","No","No","Yes","No","No"
"ircd-ratbox","# &","No","No","No","No","No","No","Yes","No","No"
"ircu","# &","No","Yes","No","No","Yes","No","No","No","No"
"ithildin","#","No","No","No","Yes","Yes","Yes","No","No","No"
"miniircd","+ # & !","No","No","No","No","No","No","No","No","No"
"Nefarious IRCu","# &","Yes","No","No","No","Yes","No","Yes","No","No"
"ngIRCd","# & +","Yes","Yes","Yes","No","No","No","No","No","No"
"OfficeIRC Server","# %# & %&","No","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Partial"
"PleXusIRCd","# &","Yes","Yes","Yes","No","No","Unknown","Yes","Unknown","No"
"pureIRCd","#","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"RockIRCd","#","No","Yes","Yes","Unknown","Unknown","Yes","No","Unknown","No"
"RubIRCd","#","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No"
"ShadowIRCd","# &","Yes","Yes","No","No","Yes","Yes","Yes","No","No"
"snircd","# &","No","Yes","No","No","Yes","No","Yes","No","No"
"solid-ircd","#","Yes","No","No","No","No","No","Partial","No","No"
"Synchronet IRCd","# &","No","No","No","No","No","No","No","No","No"
"UnrealIRCd","#","Yes","Yes","Yes","No","Third party module","Third party module (netadmins)","Yes, vhost block in conf","iso8859-1/2/7/8-I/9/16, windows-1250/1251, Multibyte","MySQL  PostgreSQL: Third party modules"
"WeIRCd","#","Yes","No","No","No","No","No","No","No","SQLite in services module"
