"JVM","x86","x86-64","SPARC","MIPS","Itanium","Power","ARM","Alpha","S390","zSeries","m68k"
"Avian","Yes","Yes","No","No","No","No","Yes","No","No","No","No"
"CACAO","Yes","Yes","Not any more","Yes","No","Yes","Yes","Yes","Yes","No","Not any more"
"CEE-J","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No"
"GCJ","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"HotSpot, OpenJDK edition","Yes","Yes","Solaris only","Port","No","PowerPC/AIX port","Yes","No","No","No","No"
"HotSpot, Oracle JDK edition","Yes","Yes","Solaris only","No","Java 1.6","No","Yes","No","No","No","No"
"HotSpot, Java SE embedded edition","Yes","Yes","Yes","?","?","Yes","Yes","?","?","?","?"
"HotSpot, Zero port","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"IKVM.NET","Any architecture with a .NET framework.","Any architecture with a .NET framework.","Any architecture with a .NET framework.","Any architecture with a .NET framework.","Any architecture with a .NET framework.","Any architecture with a .NET framework.","Any architecture with a .NET framework.","Any architecture with a .NET framework.","Any architecture with a .NET framework.","Any architecture with a .NET framework.","Any architecture with a .NET framework."
"JAmiga","?","?","No","No","No","Yes","No","No","No","No","Yes"
"JamVM","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No"
"Jato VM","Yes","Under development","No","No","No","Under development","Preliminary ARMv5 support","No","No","No","No"
"JC virtual machine","Yes","No","No","No","No","No","No","No","No","No","No"
"Jikes RVM","Yes","No","No","No","No","Yes","No","No","No","No","No"
"Kaffe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Mysaifu JVM","No","No","No","No","No","No","Yes","No","No","No","No"
"SableVM","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"VMKit J3","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No"
"Zing","No","Yes","No","No","No","No","No","No","No","No","No"
"Zulu","Yes","Yes","No","No","No","No","No","No","No","No","No"
