"Distribution","Default file system","Default init system","Install-time desktop environment or window manager selection"
"Alpine Linux","ext4","openrc","none"
"ALT Linux","ext3","systemd","KDE Plasma Workspaces, Xfce"
"Arch Linux","none","systemd","none"
"BLAG","ext3","sysvinit","GNOME"
"Bodhi Linux","ext4","sysvinit","Enlightenment"
"CentOS","xfs","systemd","GNOME"
"Chakra","ext4","systemd","KDE Plasma Workspaces"
"ClearOS","ext3","?","GNOME"
"CrunchBang Linux","ext4","sysvinit","Openbox"
"Damn Small Linux","ext3","sysvinit","JWM"
"Debian","ext4","systemd","GNOME, KDE, Xfce, LXDE"
"Dragora GNU/Linux-Libre","ext4","runit","Xfce"
"dyne:bolic","?","?","?"
"Elive","SquashFS, ReiserFS","initscripts","Enlightenment"
"Fedora","ext4","systemd","GNOME"
"Gentoo","none","openrc","Awesome, Enlightenment, Fluxbox, GNOME, KDE, LXDE-Meta, Openbox, XBMC and Xfce (live DVD)"
"gNewSense","ext3","?","GNOME"
"gnuLinEx","ext2","?","GNOME"
"Instant WebKiosk","SquashFS","?","Has no DE. It's a browser-only interface"
"Kali Linux","ext3","sysvinit","GNOME"
"Knoppix","XFS","microknoppix","LXDE"
"LibreCMC/LibreWRT","?","?","?"
"Linux Mint","ext4","upstart","MATE, Cinnamon"
"Mageia","ext4","systemd","KDE Plasma Workspaces, GNOME"
"Mandriva Linux","ext4","systemd","KDE Plasma Workspaces"
"MEPIS","ext3, ext4","sysvinit","KDE Plasma Workspaces"
"Musix GNU+Linux","?","?","?"
"OpenELEC","SquashFS","shell script","XBMC Media Center"
"openSUSE","btrfs","systemd","KDE Plasma Workspaces, GNOME, Xfce"
"OpenWrt","overlayfs+SquashFS/JFFS2","procd","none"
"Parabola GNU/Linux-libre","?","?","?"
"Pardus","ext4","?","KDE Plasma Workspaces"
"Parsix","ext4","systemd","GNOME"
"PCLinuxOS","none","sysvinit","KDE Plasma Workspaces, GNOME, LXDE, Xfce, Enlightenment, Openbox"
"Pentoo","SquashFS","openrc","Enlightenment"
"Porteus","Squashfs, ext2, ext3, ext4, FAT32, reiser, xfs","sysvinit","KDE, LXDE, Xfce, Openbox, Razor-qt"
"Puppy Linux","SquashFS containing ext2","busybox-init","JWM"
"Red Hat Enterprise Linux","xfs","systemd","GNOME"
"Rxart Desktop","ext3","?","KDE Plasma Workspaces"
"Sabayon Linux","ext4","systemd","KDE Plasma Workspaces, GNOME"
"Scientific Linux","ext4","sysvinit","GNOME"
"Slackware","ext4","sysvinit","KDE Plasma Workspaces, Xfce, Fluxbox, Blackbox, twm"
"Slax","SquashFS","sysvinit","KDE Plasma Workspaces"
"SliTaz GNU/Linux","ext3","systemd","Openbox"
"Source Mage GNU/Linux","ext2","simpleinit-msb","none"
"SUSE Linux Enterprise Desktop","ext3","systemd","GNOME"
"Tor-ramdisk","ext2","?","none"
"Trisquel","ext4, xfs","upstart","GNOME, LXDE"
"Ubuntu/Edubuntu","ext4","systemd","Unity on GNOME, Unity 2D for fallback"
"Kubuntu","ext4","systemd","KDE Plasma Workspaces"
"Xubuntu","ext4","systemd","Xfce"
"Ututo","ext3","?","GNOME"
"VectorLinux","ReiserFS","sysvinit","KDE, Openbox, Fluxbox, IceWM, Xfce"
"Webconverger","gitfs","sysvinit","dwm enforcing a Browser-only interface"
"XBMC Live","ext3","upstart","XBMC Media Center"
"Zentyal","ext4","?","LXDE"
"Zenwalk","ext4","sysvinit","Xfce"
"Distribution","Default file system","Default init system","Install-time desktop environment or window manager selection"
