"Implementation","SSL 2.0 (insecure)","SSL 3.0 (insecure)","TLS 1.0","TLS 1.1","TLS 1.2","DTLS 1.0","DTLS 1.2"
"Botan","No","No","Yes","Yes","Yes","Yes","Yes"
"cryptlib","No","Enabled by default","Yes","Yes","Yes","No","No"
"GnuTLS","No","Disabled by default","Yes","Yes","Yes","Yes","Yes"
"JSSE","No","Disabled by default","Yes","Yes","Yes","No","No"
"LibreSSL","No","Disabled by default","Yes","Yes","Yes","Yes","No"
"MatrixSSL","No","Disabled by default at compile time","Yes","Yes","Yes","Yes","Yes"
"mbed TLS","No","Enabled by default","Yes","Yes","Yes","Beta","Beta"
"NSS","Disabled by default","Disabled by default","Yes","Yes","Yes","Yes","Yes"
"OpenSSL","Enabled by default","Enabled by default","Yes","Yes","Yes","Yes","Yes"
"RSA BSAFE","No","Yes","Yes","Yes","Yes","No","No"
"SChannel XP / 2003","Disabled by default in MSIE 7","Enabled by default","Enabled by default in MSIE 7","No","No","No","No"
"SChannel Vista / 2008","Disabled by default","Enabled by default","Yes","No","No","No","No"
"SChannel 7 / 2008R2","Disabled by default","Disabled by default in MSIE 11","Yes","Enabled by default in MSIE 11","Enabled by default in MSIE 11","Yes","Yes"
"SChannel 8 / 2012","Disabled by default","Enabled by default","Yes","Disabled by default","Disabled by default","Yes","Yes"
"SChannel 8.1 / 2012R2, 10 Technical Preview","Disabled by default","Disabled by default in MSIE 11","Yes","Yes","Yes","Yes","Yes"
"Secure Transport OS X 10.2-10.7 / iOS 1-4","Yes","Yes","Yes","No","No","No","No"
"Secure Transport OS X 10.8-10.10 / iOS 5-8","No","Yes","Yes","Yes","Yes","Yes","No"
"SharkSSL","No","Enabled by default","Yes","Yes","Yes","No","No"
"wolfSSL","No","Enabled by default","Yes","Yes","Yes","Yes","Yes"
"Implementation","SSL 2.0 (insecure)","SSL 3.0 (insecure)","TLS 1.0","TLS 1.1","TLS 1.2","DTLS 1.0","DTLS 1.2"
