"Client","Primary developers","Cost","Software license","User interface","Programming language","Computing platform","Website"
"AndroidChat","","Free software","GNU GPL","TUI, GUI","Java","Android",""
"AndChat","","Freeware","Proprietary software","TUI, GUI","Java","Android",""
"Mobile Colloquy","Kiji Roshi","US$1.99","BSD License","GUI","Objective-C","iOS",""
"CoolIRC","","Free software","GNU GPL","GUI","Java","Java ME","(archive)"
"Dump Chat","Mark Marszal","US$2.99","Proprietary software","GUI","Objective-C","iOS",""
"EbIRC","Shin Ise, Nobuhiro Ito","Freeware
iPhone: US$3","Proprietary software","GUI","?","iOS, Windows Mobile",""
"fIRC","Laurence Muller","Free software","GNU GPL","GUI","Java","Android",""
"Foo IRC","","US$1.49","Proprietary software","GUI","C#","Windows Phone",""
"JedIrc","","Free software","GNU GPL","GUI","Java","Java ME",""
"IRC7","","US$1.49","Proprietary software","GUI","C#","Windows Phone",""
"IRC999","Babylon999","Free software","?","GUI","?","iOS",""
"IRCCloud","IRCCloud Ltd.","Freeware","?","GUI","?","iOS, Android",""
"jmIrc","Juho Vähä-Herttua","Free software","GNU GPL","GUI","Java","Java ME",""
"k-IRC","Armond Avanes","Free software","GNU GPL","GUI","Java","Java ME",""
"Mango IRC","Mediaware, Pavel Kanzelsberger","iPhone: US$0.99
iPad: US$1.99
Universal: US$2.99
Lite version for iPhone: Freeware","Proprietary software","GUI","?","iOS",""
"microirc","","Free software","GNU GPL","GUI","C ?","Windows Mobile 5 (and above)",""
"mirggi","Symbiatch","Free software","Freeware","GUI","C++","Symbian",""
"MtvIRC","","Free software","GNU GPL","GUI","Java","Java ME",""
"Palaver","Kyle Fuller","US$2.99","Proprietary software","GUI","Objective-C","iOS",""
"PSPIRC","Ludovic Jacomme","Free software","GNU GPL","GUI","C","PlayStation Portable",""
"Relay IRC","Gyresoft Limited","US$2.99","Proprietary software","GUI","Objective-C","iOS",""
"upIRC","","Shareware US$10","Proprietary software","GUI","?","Palm OS",""
"Virca","","Free software","GNU GPL","TUI","Java","Java ME",""
"wIRC","","Free software","GNU GPL","GUI","C & JavaScript","WebOS",""
"WirelessIRC","","Demoware US$20","Proprietary software","GUI","?","Symbian",""
"WLIrc","Sverre Kristian Valskrå","Free software","GNU LGPL","GUI","Java","Java ME",""
"Yaaic","Sebastian Kaspari","Free software","GNU GPL","GUI","Java","Android",""
"zsIRC","Gargaj","Free software","3-clause BSD","GUI","C++","Windows Mobile",""
"Client","Primary developers","Cost","Software license","User interface","Programming language","Computing platform","Website"
